Jour,Température max.,Température min.,Précipitations 24h,Ensoleillement,,annee,mois
Lun. 1,23.4 °C,13.8 °C,5.1 mm,5.8 h,,2025,9
Mar. 2,18.6 °C,12.1 °C,4 mm,1.7 h,,2025,9
Mer. 3,25 °C,16.9 °C,2.4 mm,2.2 h,,2025,9
Jeu. 4,22.2 °C,14.7 °C,6 mm,5.2 h,,2025,9
Ven. 5,23.2 °C,13.5 °C,0 mm,10.1 h,,2025,9
Sam. 6,25.3 °C,12.4 °C,0 mm,11.9 h,,2025,9
Dim. 7,31.2 °C,15.6 °C,0 mm (Tr),8 h,,2025,9
Lun. 8,23.4 °C,18.1 °C,0 mm,4.2 h,,2025,9
Mar. 9,23.1 °C,14.4 °C,0 mm,8.8 h,,2025,9
Mer. 10,20.9 °C,11.8 °C,4.4 mm,3.8 h,,2025,9
Jeu. 11,20.7 °C,13.5 °C,2.4 mm,4.4 h,,2025,9
Ven. 12,20.5 °C,11.6 °C,0.2 mm,9.8 h,,2025,9
Sam. 13,19.7 °C,13.4 °C,4.8 mm,1.6 h,,2025,9
Dim. 14,20.6 °C,13.7 °C,1.6 mm,0.6 h,,2025,9
Lun. 15,21.2 °C,15.7 °C,0 mm,7.9 h,,2025,9
Mar. 16,19.1 °C,12.5 °C,0 mm,3.8 h,,2025,9
Mer. 17,22.7 °C,12.9 °C,0 mm,7.4 h,,2025,9
Jeu. 18,25.3 °C,12.5 °C,0.2 mm,11.3 h,,2025,9
Ven. 19,30.4 °C,13 °C,0 mm,11.6 h,,2025,9
Sam. 20,21.2 °C,18.8 °C,8 mm,0.4 h,,2025,9
Dim. 21,18.7 °C,13.8 °C,0 mm,2.1 h,,2025,9
Lun. 22,17.1 °C,10.4 °C,1.8 mm,6.6 h,,2025,9
Mar. 23,15.3 °C,10.3 °C,7.8 mm,0 h,,2025,9
Mer. 24,10.9 °C,10.3 °C,5 mm,0 h,,2025,9
Jeu. 25,12.7 °C,10 °C,0.4 mm,0 h,,2025,9
Ven. 26,15.1 °C,10 °C,0 mm (Tr),0.6 h,,2025,9
Sam. 27,15.9 °C,11 °C,0 mm,0.8 h,,2025,9
Dim. 28,20.4 °C,8.3 °C,0.2 mm,9 h,,2025,9
Lun. 29,21.6 °C,10.2 °C,0 mm,8.7 h,,2025,9
Mar. 30,19.4 °C,10.8 °C,0.2 mm,10.1 h,,2025,9
