Jour,Température max.,Température min.,Précipitations 24h,Ensoleillement,,annee,mois
Sam. 1,7.4 °C,0.8 °C,0 mm,8.6 h,,2025,2
Dim. 2,7.6 °C,-1 °C,0 mm,8.7 h,,2025,2
Lun. 3,8.5 °C,-0.6 °C,0 mm (Tr),8.7 h,,2025,2
Mar. 4,3.1 °C,-0.9 °C,0 mm (Tr),0 h,,2025,2
Mer. 5,6.5 °C,2.1 °C,0 mm,0.1 h,,2025,2
Jeu. 6,5.2 °C,2.8 °C,0.2 mm,0 h,,2025,2
Ven. 7,7.4 °C,2.6 °C,1.2 mm,0 h,,2025,2
Sam. 8,7.4 °C,3.7 °C,4.8 mm,2.1 h,,2025,2
Dim. 9,7.4 °C,4 °C,0.4 mm,0.2 h,,2025,2
Lun. 10,6.2 °C,4.9 °C,5.4 mm,0 h,,2025,2
Mar. 11,6.4 °C,3.1 °C,0 mm,0 h,,2025,2
Mer. 12,5.9 °C,2.3 °C,0 mm (Tr),0 h,,2025,2
Jeu. 13,6.2 °C,4 °C,0 mm,0 h,,2025,2
Ven. 14,5.8 °C,-0.7 °C,0 mm,9.3 h,,2025,2
Sam. 15,4.8 °C,-1.3 °C,0 mm,4.4 h,,2025,2
Dim. 16,6.8 °C,-0.2 °C,0 mm,9.3 h,,2025,2
Lun. 17,7.6 °C,-0.4 °C,0 mm,9 h,,2025,2
Mar. 18,8.4 °C,0 °C,0 mm,8.7 h,,2025,2
Mer. 19,10.5 °C,1 °C,0 mm (Tr),3 h,,2025,2
Jeu. 20,14.3 °C,7.3 °C,1.6 mm,0.1 h,,2025,2
Ven. 21,16 °C,9.9 °C,1 mm,2.7 h,,2025,2
Sam. 22,13.9 °C,10.2 °C,0.8 mm,3 h,,2025,2
Dim. 23,15.3 °C,4.8 °C,0.2 mm,7.8 h,,2025,2
Lun. 24,13.6 °C,10.3 °C,1.2 mm,0.9 h,,2025,2
Mar. 25,9.8 °C,6.8 °C,25 mm,0 h,,2025,2
Mer. 26,10.7 °C,4.3 °C,2.8 mm,4.8 h,,2025,2
Jeu. 27,9.2 °C,4.1 °C,0 mm (Tr),3.7 h,,2025,2
Ven. 28,9.5 °C,5.3 °C,0.2 mm,3.6 h,,2025,2
