Jour,Température max.,Température min.,Précipitations 24h,Ensoleillement,,annee,mois
Mar. 1,16.3 °C,7 °C,0 mm,12 h,,2025,4
Mer. 2,18.4 °C,6.8 °C,0 mm,12.2 h,,2025,4
Jeu. 3,22.1 °C,9.8 °C,0 mm,10.9 h,,2025,4
Ven. 4,24.9 °C,13.4 °C,0 mm,9.4 h,,2025,4
Sam. 5,25.9 °C,11.3 °C,0 mm,12.4 h,,2025,4
Dim. 6,19.9 °C,9.6 °C,0 mm,12.4 h,,2025,4
Lun. 7,18.2 °C,6 °C,0 mm,12.5 h,,2025,4
Mar. 8,19.8 °C,6.2 °C,0 mm,10.6 h,,2025,4
Mer. 9,19.9 °C,8 °C,0 mm,12.6 h,,2025,4
Jeu. 10,17.7 °C,5.8 °C,0 mm,12.6 h,,2025,4
Ven. 11,22.3 °C,7.1 °C,0 mm,12.7 h,,2025,4
Sam. 12,22.9 °C,9.9 °C,4.6 mm,5.6 h,,2025,4
Dim. 13,18 °C,12.6 °C,0.2 mm,2.1 h,,2025,4
Lun. 14,20.3 °C,8 °C,0.6 mm,6.7 h,,2025,4
Mar. 15,18.9 °C,12.6 °C,0 mm,4.2 h,,2025,4
Mer. 16,14.9 °C,8.1 °C,0 mm,1.5 h,,2025,4
Jeu. 17,17.6 °C,6.9 °C,0 mm,8.1 h,,2025,4
Ven. 18,19.1 °C,5.8 °C,0 mm,10.5 h,,2025,4
Sam. 19,20.6 °C,9.2 °C,5.2 mm,2.2 h,,2025,4
Dim. 20,16.9 °C,10.3 °C,4.4 mm,3.5 h,,2025,4
Lun. 21,15.5 °C,9.7 °C,4.8 mm,0.5 h,,2025,4
Mar. 22,16.8 °C,9.5 °C,1.2 mm,1.4 h,,2025,4
Mer. 23,16.1 °C,8.8 °C,12.3 mm,3.3 h,,2025,4
Jeu. 24,16 °C,10.7 °C,0 mm,2.4 h,,2025,4
Ven. 25,16.2 °C,8.4 °C,0 mm,0.6 h,,2025,4
Sam. 26,21.4 °C,8.7 °C,0 mm,7.7 h,,2025,4
Dim. 27,22.3 °C,11.6 °C,0 mm,5.2 h,,2025,4
Lun. 28,24.9 °C,11.5 °C,0 mm,12.9 h,,2025,4
Mar. 29,26.6 °C,12.2 °C,0 mm,13.7 h,,2025,4
Mer. 30,28.7 °C,13.6 °C,0 mm,13.7 h,,2025,4
