Jour,Température max.,Température min.,Précipitations 24h,Ensoleillement,,annee,mois
Mar. 1,38.1 °C,22.6 °C,0 mm,14.8 h,,2025,7
Mer. 2,32.6 °C,20.7 °C,0 mm,11.6 h,,2025,7
Jeu. 3,27.2 °C,17.2 °C,0 mm,14.6 h,,2025,7
Ven. 4,28.2 °C,15.3 °C,0 mm,14.1 h,,2025,7
Sam. 5,27.5 °C,17.1 °C,10.7 mm,5.1 h,,2025,7
Dim. 6,20.1 °C,13.6 °C,10.1 mm,0.8 h,,2025,7
Lun. 7,20.7 °C,14.9 °C,5.4 mm,2.1 h,,2025,7
Mar. 8,23.1 °C,14 °C,2 mm,10.8 h,,2025,7
Mer. 9,26.4 °C,12.6 °C,0 mm (Tr),14.9 h,,2025,7
Jeu. 10,28.9 °C,15.8 °C,0 mm,13.2 h,,2025,7
Ven. 11,29.9 °C,18.3 °C,0 mm,14.1 h,,2025,7
Sam. 12,29.3 °C,18.7 °C,0 mm,13.3 h,,2025,7
Dim. 13,31.6 °C,17.8 °C,0 mm (Tr),14.4 h,,2025,7
Lun. 14,28 °C,20.4 °C,0.2 mm,6.6 h,,2025,7
Mar. 15,25 °C,17.7 °C,0 mm,7.5 h,,2025,7
Mer. 16,22.5 °C,19.1 °C,0.6 mm,0.1 h,,2025,7
Jeu. 17,28.3 °C,17.1 °C,0.2 mm,5.8 h,,2025,7
Ven. 18,32.1 °C,20.1 °C,0 mm,8.6 h,,2025,7
Sam. 19,27.3 °C,21.1 °C,3.8 mm,5.3 h,,2025,7
Dim. 20,24.6 °C,16.7 °C,8.3 mm,5.8 h,,2025,7
Lun. 21,22.5 °C,16.8 °C,24 mm,2.6 h,,2025,7
Mar. 22,22.6 °C,17 °C,0.2 mm,1.6 h,,2025,7
Mer. 23,23.5 °C,17.4 °C,17.3 mm,2.5 h,,2025,7
Jeu. 24,23.7 °C,16.3 °C,2 mm,2.8 h,,2025,7
Ven. 25,26.9 °C,16.5 °C,0 mm,6.5 h,,2025,7
Sam. 26,26.8 °C,17.2 °C,1.4 mm,9.1 h,,2025,7
Dim. 27,23.3 °C,16.6 °C,2.2 mm,1.9 h,,2025,7
Lun. 28,23.5 °C,16.4 °C,0 mm,4.9 h,,2025,7
Mar. 29,23.3 °C,14.1 °C,0 mm (Tr),6.3 h,,2025,7
Mer. 30,24.9 °C,16.6 °C,2.7 mm,3.7 h,,2025,7
Jeu. 31,25 °C,16.2 °C,3.8 mm,6.4 h,,2025,7
