Jour,Température max.,Température min.,Précipitations 24h,Ensoleillement,,annee,mois
Sam. 1,8 °C,2 °C,0 mm,6.7 h,,2025,3
Dim. 2,11.8 °C,1.4 °C,0 mm,10.3 h,,2025,3
Lun. 3,12.6 °C,1.6 °C,0 mm,10.3 h,,2025,3
Mar. 4,13.7 °C,3.9 °C,0 mm,5 h,,2025,3
Mer. 5,18.2 °C,4 °C,0 mm,10.5 h,,2025,3
Jeu. 6,18 °C,4.3 °C,0 mm,10.6 h,,2025,3
Ven. 7,18.3 °C,7.2 °C,0 mm,9.4 h,,2025,3
Sam. 8,18.6 °C,8.6 °C,0 mm,7.9 h,,2025,3
Dim. 9,18.9 °C,9.4 °C,0 mm (Tr),3.4 h,,2025,3
Lun. 10,12.9 °C,11 °C,2.2 mm,0.2 h,,2025,3
Mar. 11,10.9 °C,6.1 °C,0.8 mm,2.5 h,,2025,3
Mer. 12,8.4 °C,3.8 °C,0.2 mm,0.5 h,,2025,3
Jeu. 13,8.9 °C,3.5 °C,0.4 mm,3.7 h,,2025,3
Ven. 14,8.5 °C,2.4 °C,0 mm,3.7 h,,2025,3
Sam. 15,9.8 °C,1.7 °C,0 mm,3.1 h,,2025,3
Dim. 16,11.7 °C,3.5 °C,0 mm,3.3 h,,2025,3
Lun. 17,12.9 °C,2.1 °C,0 mm,11.2 h,,2025,3
Mar. 18,13.6 °C,2.8 °C,0 mm,11.3 h,,2025,3
Mer. 19,18.5 °C,5.2 °C,0 mm,10.6 h,,2025,3
Jeu. 20,20.1 °C,6.7 °C,0 mm,9.1 h,,2025,3
Ven. 21,19.4 °C,11.5 °C,5.2 mm,0.1 h,,2025,3
Sam. 22,18.8 °C,11.3 °C,7.1 mm,2.5 h,,2025,3
Dim. 23,14 °C,7.1 °C,1.4 mm,1.2 h,,2025,3
Lun. 24,17.4 °C,8.4 °C,0 mm,4 h,,2025,3
Mar. 25,14.8 °C,8.1 °C,0.2 mm,7.4 h,,2025,3
Mer. 26,15.7 °C,9.6 °C,0 mm (Tr),3.2 h,,2025,3
Jeu. 27,17.2 °C,5.2 °C,0 mm,11.8 h,,2025,3
Ven. 28,13.6 °C,5.3 °C,5.2 mm,1.8 h,,2025,3
Sam. 29,14.4 °C,7.5 °C,0 mm,11.7 h,,2025,3
Dim. 30,17 °C,7.5 °C,0 mm,5.5 h,,2025,3
Lun. 31,16.3 °C,6.9 °C,0 mm,11.8 h,,2025,3
